cloth_type,size,color,fabric,brand,mrp,age_months,rental_price,rental_duration,availability,condition,location,occasion
3,8,12,3,45,1799,5,300,2,1,3,6,0
40,6,1,13,1,2999,4,550,7,1,5,10,0
10,7,2,3,38,3999,3,800,3,1,3,5,0
28,7,14,3,46,3999,8,800,2,1,3,1,3
41,6,6,20,6,4999,10,1000,3,1,3,10,3
1,7,1,13,61,7999,6,1500,7,1,5,5,3
38,5,13,17,11,1999,5,400,2,1,3,4,3
8,8,1,13,22,14999,3,3000,3,1,3,6,3
28,7,2,3,43,2999,8,600,7,1,5,11,3
30,8,13,13,12,5999,4,1200,4,1,3,8,3
31,7,1,20,5,49999,1,10000,7,1,3,5,3
38,5,2,17,16,2999,5,500,2,1,3,10,3
8,7,5,17,15,25999,2,5000,3,1,3,1,3
15,7,14,3,31,4999,7,1000,7,1,5,6,6
24,5,13,17,54,69999,1,14000,2,1,3,5,6
31,7,2,3,41,8999,5,1500,3,1,3,10,3
18,8,5,17,33,119999,1,24000,7,1,3,4,6
22,7,11,3,26,3999,9,800,4,1,4,1,6
27,7,14,17,52,34999,3,7000,2,1,3,6,6
24,5,2,17,4,29999,6,6000,7,1,5,10,6
15,8,1,3,63,1799,11,350,3,1,4,5,6
31,7,1,20,43,9999,4,2000,7,1,3,4,3
18,7,15,17,0,79999,2,16000,2,1,3,8,6
36,6,6,3,38,2499,5,500,3,1,3,5,0
12,7,2,5,28,3999,8,800,2,1,3,10,0
10,8,1,13,1,3499,6,700,7,1,5,1,0
13,7,5,3,45,2999,7,600,4,1,4,6,0
37,6,15,3,59,1999,10,400,3,1,3,4,0
34,7,6,3,23,2999,5,600,2,1,3,8,0
29,8,2,13,50,2499,9,500,7,1,5,5,0
3,7,1,3,38,3499,6,700,3,1,3,10,0
39,8,11,16,18,1999,12,400,4,1,4,1,0
13,6,1,3,67,3999,4,800,7,1,5,6,0
15,7,11,17,64,4999,8,1000,2,1,3,5,6
22,8,5,3,7,3499,5,700,7,1,5,10,6
24,5,10,17,48,8999,3,1800,3,1,3,1,6
17,7,12,3,30,1999,10,400,4,1,4,8,6
27,6,0,17,34,14999,6,3000,2,1,3,6,6
18,7,11,17,37,29999,4,6000,7,1,5,4,6
7,5,14,3,17,1999,11,400,3,1,4,5,6
2,8,13,17,4,5999,5,1200,2,1,3,10,6
31,7,14,3,34,7999,7,1600,4,1,5,1,6
22,6,1,3,64,2499,9,500,7,1,3,8,6
8,8,13,13,67,2999,6,600,2,1,3,5,5
9,7,2,1,33,9999,3,2000,7,1,5,10,5
14,6,1,3,23,3999,5,800,3,1,4,1,5
1,7,6,20,61,5999,8,1200,2,1,3,8,3
31,6,9,13,49,8999,4,1800,7,1,5,6,3
30,8,11,16,18,1999,10,400,4,1,4,4,0
27,7,1,17,34,19999,7,4000,2,1,3,5,6
24,5,15,17,54,11999,5,2400,7,1,5,10,6
43,7,1,20,5,39999,3,8000,3,1,3,1,3
15,6,0,3,17,1499,12,300,2,1,4,8,0
18,7,5,17,54,69999,2,14000,7,1,5,6,6
2,8,14,17,57,7999,6,1600,4,1,3,4,6
13,6,6,3,45,2999,8,600,3,1,4,5,0
8,8,1,13,32,2499,9,500,7,1,5,10,5
9,7,13,7,51,12999,4,2600,2,1,3,1,5
15,6,5,3,34,2999,7,600,7,1,5,8,6
1,7,9,13,9,4999,5,1000,3,1,3,6,3
24,5,11,1,35,4999,6,1000,2,1,4,4,6
36,8,14,3,28,1999,11,400,4,1,3,5,0
14,8,5,13,23,2999,4,600,2,1,5,10,5
12,6,2,5,28,3999,6,800,3,1,3,1,0
18,7,12,17,4,89999,1,18000,7,1,4,8,6
2,8,2,3,63,999,9,200,4,1,3,6,6
31,6,1,13,9,7999,5,1600,3,1,5,4,3
42,7,0,3,6,2999,8,600,2,1,3,5,3
24,5,5,7,7,5999,4,1200,7,1,4,10,6
15,6,11,3,63,1499,7,300,3,1,3,1,0
8,8,14,3,18,1999,9,400,2,1,5,8,5
27,7,4,17,34,17999,5,3600,7,1,3,6,6
1,6,9,13,61,5999,6,1200,4,1,4,4,3
13,7,1,3,1,3499,7,700,2,1,3,5,0
9,8,11,1,33,14999,3,3000,7,1,5,10,5
18,7,13,17,54,79999,2,16000,3,1,3,1,6
30,6,1,10,67,5999,5,1200,2,1,4,8,0
31,7,9,20,49,11999,4,2400,7,1,3,6,3
36,8,6,3,38,2499,10,500,4,1,5,4,0
15,6,10,3,17,1499,8,300,2,1,3,5,6
14,8,1,13,18,1999,6,400,7,1,4,10,5
24,5,2,17,54,99999,1,20000,3,1,3,1,-1
28,6,2,3,49,2000,5,500,7,1,3,5,3
12,2,1,5,29,3000,3,800,5,1,2,10,0
35,7,5,8,38,1500,4,400,3,0,1,4,4
24,5,13,17,54,15000,6,4000,8,1,3,8,7
15,6,14,11,17,3500,2,1000,2,1,2,1,1
1,7,6,13,62,8000,8,2000,5,0,0,10,3
22,7,10,3,8,5000,3,1500,4,1,1,5,1
30,8,1,10,67,4000,4,1200,3,0,3,4,5
4,3,7,18,60,2500,6,600,6,1,2,11,0
8,10,13,16,19,5000,2,1500,4,0,1,1,5
32,7,6,20,45,4000,5,1000,7,1,0,8,4
2,8,5,1,3,3000,4,800,4,0,3,10,3
10,6,1,3,44,6000,7,1500,5,0,2,5,0
18,5,2,17,55,10000,3,2500,8,1,3,4,7
29,7,13,13,1,2000,2,500,2,0,1,11,4
31,6,1,20,5,15000,9,4000,7,1,0,1,3
34,8,11,6,38,3500,6,1000,4,0,3,10,0
9,7,2,16,14,8000,4,2000,6,1,2,8,7
5,6,2,5,20,5000,8,1500,5,0,1,5,0
2,8,15,3,39,2000,3,600,3,1,0,4,2
28,6,2,3,49,2000,5,500,7,1,3,5,3
12,2,1,5,29,3000,3,800,5,1,2,10,0
35,7,5,8,38,1500,4,400,3,0,1,4,4
24,5,13,17,54,15000,6,4000,8,1,3,8,7
15,6,14,11,17,3500,2,1000,2,1,2,1,1
1,7,6,13,62,8000,8,2000,5,0,0,10,3
22,7,10,3,8,5000,3,1500,4,1,1,5,1
30,8,1,10,67,4000,4,1200,3,0,3,4,5
4,3,7,18,60,2500,6,600,6,1,2,11,0
8,10,13,16,19,5000,2,1500,4,0,1,1,5
32,7,6,20,45,4000,5,1000,7,1,0,8,4
2,8,5,1,3,3000,4,800,4,0,3,10,3
10,6,1,3,44,6000,7,1500,5,0,2,5,0
18,5,2,17,55,10000,3,2500,8,1,3,4,7
29,7,13,13,1,2000,2,500,2,0,1,11,4
31,6,1,20,5,15000,9,4000,7,1,0,1,3
34,8,11,6,38,3500,6,1000,4,0,3,10,0
9,7,2,16,14,8000,4,2000,6,1,2,8,7
5,6,2,5,20,5000,8,1500,5,0,1,5,0
2,8,15,3,39,2000,3,600,3,1,0,4,2
15,6,5,3,49,3500,5,1000,6,1,3,10,1
40,8,1,13,38,2000,4,500,3,0,3,10,4
16,9,14,3,54,12000,6,3000,7,1,2,5,7
1,10,9,20,49,10000,8,2500,6,0,1,4,3
12,0,2,5,66,2500,3,700,4,1,0,8,0
23,7,12,7,63,5000,5,1500,5,0,3,11,1
28,7,14,11,43,3000,2,800,2,1,2,1,3
42,4,6,2,31,4000,5,1000,7,0,1,5,3
15,8,5,3,47,2000,3,600,3,1,0,10,1
8,7,11,17,4,6000,6,1500,4,0,3,8,5
33,6,6,6,1,3500,4,1000,3,1,2,4,0
18,5,11,17,33,20000,7,5000,8,1,0,5,7
25,5,5,1,54,18000,8,4000,7,0,1,1,7
2,10,15,16,19,2500,2,600,2,1,3,10,3
6,2,2,5,23,1500,3,500,3,0,0,11,0
31,9,6,13,61,12000,10,3000,6,1,2,8,3
30,8,13,10,18,3500,4,900,4,0,1,4,5
35,6,1,3,29,2000,3,500,2,1,3,5,0
32,7,13,20,67,5000,5,1200,7,0,0,10,4
21,7,2,4,8,3000,4,800,4,1,2,4,1
0,5,12,1,10,7000,6,2000,5,0,1,1,1
28,6,2,3,49,2000,5,500,7,1,3,5,3
12,2,1,5,29,3000,3,800,5,1,2,10,0
35,7,5,8,38,1500,4,400,3,0,1,4,4
24,5,13,17,54,15000,6,4000,8,1,3,8,7
15,6,14,11,17,3500,2,1000,2,1,2,1,1
1,7,6,13,62,8000,8,2000,5,0,0,10,3
22,7,10,3,8,5000,3,1500,4,1,1,5,1
30,8,1,10,67,4000,4,1200,3,0,3,4,5
4,3,7,18,60,2500,6,600,6,1,2,11,0
8,10,13,16,19,5000,2,1500,4,0,1,1,5
32,7,6,20,45,4000,5,1000,7,1,0,8,4
2,8,5,1,3,3000,4,800,4,0,3,10,3
10,6,1,3,44,6000,7,1500,5,0,2,5,0
18,5,2,17,55,10000,3,2500,8,1,3,4,7
29,7,13,13,1,2000,2,500,2,0,1,11,4
31,6,1,20,5,15000,9,4000,7,1,0,1,3
34,8,11,6,38,3500,6,1000,4,0,3,10,0
9,7,2,16,14,8000,4,2000,6,1,2,8,7
5,6,2,5,20,5000,8,1500,5,0,1,5,0
2,8,15,3,39,2000,3,600,3,1,0,4,3
0,7,8,17,54,12000,7,3000,5,1,0,8,7
35,6,13,3,45,1500,4,400,3,0,0,5,0
4,4,0,18,27,3000,7,800,5,1,3,10,0
2,7,11,17,36,4000,3,1000,3,1,2,1,3
31,9,2,20,67,10000,12,2500,7,1,1,4,3
26,5,5,0,22,12000,6,3000,8,0,3,8,1
12,1,2,5,42,2500,5,600,4,1,0,5,0
1,10,1,13,58,8000,8,2000,5,0,2,10,3
18,5,13,19,33,15000,4,4000,8,1,3,4,7
22,7,15,17,8,6000,3,1500,4,1,1,11,1
30,8,2,5,23,2000,2,500,2,0,3,1,5
10,6,1,6,59,4000,5,1000,7,1,0,8,0
2,8,14,9,18,2000,4,800,4,0,1,5,3
29,7,5,3,25,2500,2,600,3,0,3,4,4
15,7,15,3,53,2000,3,600,3,1,2,11,1
8,6,1,16,12,5000,2,1500,4,0,0,1,5
33,2,6,8,13,2000,6,500,6,1,1,10,0
2,8,13,3,60,2500,5,800,4,0,2,5,3
24,5,15,17,48,10000,9,2500,8,1,3,8,7
1,6,2,11,24,7000,3,1800,4,1,0,1,3
19,7,12,1,68,12000,5,3000,7,0,1,10,5
1,10,1,3,6,6000,4,1500,5,1,3,8,3
15,7,14,3,56,1500,3,500,3,0,1,5,1
30,8,13,13,32,3000,2,800,2,1,2,10,5
12,1,2,5,66,2500,6,700,4,0,0,11,0
28,9,11,11,17,4000,4,1200,3,1,3,1,3
24,5,15,17,51,12000,5,3000,7,0,2,4,7
2,8,1,4,8,2500,2,600,2,1,1,8,5
4,4,3,18,20,2000,3,500,2,0,3,5,0
8,6,12,1,19,4500,5,1200,4,1,0,10,5
10,7,2,3,1,3500,4,800,3,0,1,11,0
18,5,5,17,4,8000,3,2000,6,1,3,1,7
31,9,6,20,24,12000,8,3000,7,0,2,4,3
29,8,1,3,29,1500,2,400,2,1,1,8,4
9,7,11,16,2,7000,6,1800,5,0,0,5,7
22,7,12,3,40,3000,4,900,4,1,3,10,1
32,6,13,20,67,5000,7,1500,5,0,2,11,4
35,8,14,8,45,1500,2,400,2,1,1,1,0
2,7,10,17,65,2000,3,500,3,0,0,4,3
5,9,1,5,27,4000,4,1000,4,1,3,8,0
31,7,2,13,49,8000,5,2000,6,0,2,5,3
