cloth_type,size,color,fabric,brand,mrp,age_months,rental_price,rental_duration,availability,condition,location,occasion
10,4,9,1,15,1999,10,400,3,1,1,3,4
9,1,10,10,16,2499,6,600,7,1,1,5,4
11,3,4,1,17,1499,9,250,4,1,3,2,4
12,1,6,1,9,1799,5,300,2,1,1,4,4
13,4,10,11,10,2999,4,550,7,1,2,1,4
14,3,4,1,12,3999,3,800,3,1,1,2,4
16,3,9,1,18,3999,8,800,2,1,1,6,2
17,4,12,13,19,4999,10,1000,3,1,1,1,2
18,3,10,11,20,7999,6,1500,7,1,2,2,2
19,5,2,2,21,1999,5,400,2,1,1,5,2
20,1,10,11,22,14999,3,3000,3,1,1,4,2
16,3,4,1,23,2999,8,600,7,1,2,7,2
21,1,2,11,24,5999,4,1200,4,1,1,3,2
22,3,10,13,25,49999,1,10000,7,1,1,2,2
19,5,4,2,26,2999,5,500,2,1,1,1,2
20,3,1,2,27,25999,2,5000,3,1,1,6,2
7,3,9,1,28,4999,7,1000,7,1,2,4,5
2,6,2,2,3,69999,1,14000,2,1,1,2,5
22,3,4,1,29,8999,5,1500,3,1,1,1,2
3,1,1,2,30,119999,1,24000,7,1,1,5,5
23,3,3,1,31,3999,9,800,4,1,3,6,5
4,3,9,2,32,34999,3,7000,2,1,1,4,5
2,6,4,2,34,29999,6,6000,7,1,2,1,5
7,1,10,1,1,1799,11,350,3,1,3,2,5
22,3,10,13,23,9999,4,2000,7,1,1,5,2
3,3,5,2,35,79999,2,16000,2,1,1,3,5
